Loaded 1 seeds from grids/seeds/individual/blankSeed.mat
	we have a single blank seed, no need to run it through MC

	MCS total time 0.0 s + evolution total time 12.0 h = 12.0 h
	MCS runs 0 (1.0 m each) --> evolution runs 48 (4.0 h each)

seed 21 | gen  150 (156 grids scored in 35.4 m) | maps{1} | new champion: max wsl 11, nw 13, score 117
seed 27 | gen   54 (110 grids scored in 25.8 m) | maps{1} | new champion: max wsl 13, nw 13, score 68
seed 17 | gen  124 (177 grids scored in 30.3 m) | maps{1} | new champion: max wsl 13, nw 17, score 110
seed 23 | gen   26 (1 grids scored in 3.5 m) | maps{1} | new champion: max wsl 13, nw 15, score 57
seed 25 | gen  169 (117 grids scored in 19.8 m) | maps{1} | new champion: max wsl 13, nw 14, score 100
seed 29 | gen  623 (94 grids scored in 26.4 m) | maps{1} | new champion: max wsl 13, nw 17, score 87
seed 24 | gen  275 (83 grids scored in 19.5 m) | maps{1} | new champion: max wsl 11, nw 19, score 86
seed 19 | gen  164 (78 grids scored in 22.4 m) | maps{1} | new champion: max wsl 13, nw 13, score 66
seed 23 | gen   28 (27 grids scored in 7.6 m) | maps{1} | new champion: max wsl 13, nw 14, score 62
seed 26 | gen  427 (173 grids scored in 44.2 m) | maps{1} | new champion: max wsl 12, nw 18, score 69
seed 29 | gen  626 (136 grids scored in 36.3 m) | maps{1} | new champion: max wsl 13, nw 16, score 94
seed 18 | gen   17 (1 grids scored in 2.8 m) | maps{1} | new champion: max wsl 13, nw 10, score 90
seed 22 | gen   59 (216 grids scored in 36.8 m) | maps{1} | new champion: max wsl 11, nw 17, score 79
seed 29 | gen  628 (168 grids scored in 40.4 m) | maps{1} | new champion: max wsl 13, nw 15, score 102
seed 30 | gen  263 (39 grids scored in 19.4 m) | maps{1} | new champion: max wsl 12, nw 17, score 55
seed 27 | gen   56 (170 grids scored in 34.8 m) | maps{1} | new champion: max wsl 13, nw 13, score 73
seed 24 | gen  278 (191 grids scored in 45.0 m) | maps{1} | new champion: max wsl 11, nw 20, score 93
seed 23 | gen   30 (56 grids scored in 11.7 m) | maps{1} | new champion: max wsl 13, nw 15, score 71
seed 28 | gen   69 (156 grids scored in 25.3 m) | maps{1} | new champion: max wsl 11, nw 18, score 107
seed 32 | gen   21 (1 grids scored in 3.3 m) | maps{1} | new champion: max wsl 12, nw 23, score 59
seed 23 | gen   33 (106 grids scored in 21.7 m) | maps{1} | new champion: max wsl 13, nw 15, score 76
seed 21 | gen  152 (215 grids scored in 43.9 m) | maps{1} | new champion: max wsl 10, nw 13, score 120
seed 19 | gen  168 (204 grids scored in 1.0 h) | maps{1} | new champion: max wsl 11, nw 15, score 74
seed 32 | gen   27 (106 grids scored in 54.3 m) | maps{1} | new champion: max wsl 13, nw 23, score 60
seed 22 | gen   61 (341 grids scored in 52.7 m) | maps{1} | new champion: max wsl 11, nw 16, score 83
seed 30 | gen  267 (96 grids scored in 39.6 m) | maps{1} | new champion: max wsl 12, nw 17, score 60
seed 23 | gen   35 (150 grids scored in 27.5 m) | maps{1} | new champion: max wsl 13, nw 15, score 81
seed 20 | gen  318 (78 grids scored in 26.8 m) | maps{1} | new champion: max wsl 11, nw 19, score 86
seed 23 | gen   38 (198 grids scored in 37.7 m) | maps{1} | new champion: max wsl 13, nw 15, score 96
seed 19 | gen  171 (298 grids scored in 1.3 h) | maps{1} | new champion: max wsl 12, nw 15, score 83
seed 30 | gen  270 (170 grids scored in 58.4 m) | maps{1} | new champion: max wsl 13, nw 17, score 65
seed 17 | gen  126 (288 grids scored in 45.9 m) | maps{1} | new champion: max wsl 13, nw 17, score 112
seed 26 | gen  429 (256 grids scored in 55.7 m) | maps{1} | new champion: max wsl 12, nw 19, score 73
seed 25 | gen  172 (219 grids scored in 44.9 m) | maps{1} | new champion: max wsl 13, nw 16, score 107
seed 32 | gen   29 (147 grids scored in 59.6 m) | maps{1} | new champion: max wsl 13, nw 23, score 67
seed 29 | gen  630 (188 grids scored in 43.3 m) | maps{1} | new champion: max wsl 13, nw 15, score 113
seed 24 | gen  280 (263 grids scored in 55.9 m) | maps{1} | new champion: max wsl 13, nw 18, score 118
seed 23 | gen   40 (232 grids scored in 41.9 m) | maps{1} | new champion: max wsl 13, nw 15, score 98
seed 22 | gen   63 (488 grids scored in 1.2 h) | maps{1} | new champion: max wsl 13, nw 15, score 97
seed 19 | gen  173 (386 grids scored in 1.6 h) | maps{1} | new champion: max wsl 10, nw 16, score 94
seed 31 | gen   13 (193 grids scored in 28.7 m) | maps{1} | new champion: max wsl 11, nw 13, score 109
seed 29 | gen  635 (290 grids scored in 1.3 h) | maps{1} | new champion: max wsl 13, nw 14, score 116
seed 17 | gen  129 (471 grids scored in 1.4 h) | maps{1} | new champion: max wsl 13, nw 17, score 114
seed 18 | gen   21 (93 grids scored in 39.6 m) | maps{1} | new champion: max wsl 13, nw 10, score 94
seed 20 | gen  322 (244 grids scored in 1.3 h) | maps{1} | new champion: max wsl 11, nw 19, score 91
seed 24 | gen  283 (411 grids scored in 1.5 h) | maps{1} | new champion: max wsl 11, nw 18, score 120
seed 30 | gen  272 (240 grids scored in 1.1 h) | maps{1} | new champion: max wsl 13, nw 17, score 67
seed 32 | gen   32 (244 grids scored in 1.4 h) | maps{1} | new champion: max wsl 13, nw 23, score 68
seed 23 | gen   43 (293 grids scored in 54.8 m) | maps{1} | new champion: max wsl 13, nw 15, score 102
seed 31 | gen   17 (385 grids scored in 1.5 h) | maps{1} | new champion: max wsl 11, nw 13, score 111
seed 22 | gen   65 (647 grids scored in 1.5 h) | maps{1} | new champion: max wsl 13, nw 14, score 100
seed 21 | gen  155 (318 grids scored in 1.2 h) | maps{1} | new champion: max wsl 9, nw 13, score 124
seed 17 | gen  131 (598 grids scored in 1.7 h) | maps{1} | new champion: max wsl 12, nw 17, score 117
seed 29 | gen  637 (339 grids scored in 1.5 h) | maps{1} | new champion: max wsl 13, nw 14, score 121
seed 26 | gen  432 (421 grids scored in 1.5 h) | maps{1} | new champion: max wsl 10, nw 14, score 85
seed 23 | gen   46 (379 grids scored in 1.3 h) | maps{1} | new champion: max wsl 13, nw 16, score 103
