Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.7542

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022b Update 2 (9.13.0.2105380) 64-bit (glnxa64)
                              October 26, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 32).
Loaded 446 seeds from grids/seeds/individual/y2023.mat
	scoring all of them using MC
	MCS total time 14.0 m + evolution total time 2.0 d = 2.0 d
	MCS runs 446 (1.0 m each) --> evolution runs 352 (4.0 h each)

seed   196 | Wombat(0,1.0 m,0.64) x   93 | MC estimate 141
seed   161 | Wombat(0,1.0 m,0.64) x   38 | MC estimate 138
seed    34 | Wombat(0,1.0 m,0.64) x  113 | MC estimate 101
seed   172 | Wombat(0,1.0 m,0.64) x  118 | MC estimate 123
seed    40 | Wombat(0,1.0 m,0.64) x  237 | MC estimate  66
seed   179 | Wombat(0,1.0 m,0.64) x   26 | MC estimate 116
seed   107 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 118
seed    88 | Wombat(0,1.0 m,0.64) x  220 | MC estimate  66
seed   101 | Wombat(0,1.0 m,0.64) x   42 | MC estimate 107
seed   124 | Wombat(0,1.0 m,0.64) x   29 | MC estimate  98
seed   118 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  66
seed   214 | Wombat(0,1.0 m,0.64) x  225 | MC estimate 107
seed    94 | Wombat(0,1.0 m,0.64) x   84 | MC estimate 116
seed   130 | Wombat(0,1.0 m,0.64) x   34 | MC estimate 125
seed   143 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 130
seed   166 | Wombat(0,1.0 m,0.64) x   53 | MC estimate 138
seed    75 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  66
seed    70 | Wombat(0,1.0 m,0.64) x   28 | MC estimate  94
seed   202 | Wombat(0,1.0 m,0.64) x   61 | MC estimate 136
seed   207 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  69
seed   136 | Wombat(0,1.0 m,0.64) x   29 | MC estimate 118
seed    52 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  66
seed    46 | Wombat(0,1.0 m,0.64) x   78 | MC estimate  96
seed    57 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  66
seed   191 | Wombat(0,1.0 m,0.64) x   40 | MC estimate 132
seed   220 | Wombat(0,1.0 m,0.64) x  123 | MC estimate 128
seed    63 | Wombat(0,1.0 m,0.64) x  240 | MC estimate  66
seed   154 | Wombat(0,1.0 m,0.64) x   11 | MC estimate 129
seed   183 | Wombat(0,1.0 m,0.64) x    1 | MC estimate 111
seed   112 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 118
seed   147 | Wombat(0,1.0 m,0.64) x  241 | MC estimate  68
seed    81 | Wombat(0,1.0 m,0.64) x   29 | MC estimate  95
seed   160 | Wombat(0,1.0 m,0.64) x   14 | MC estimate 121
seed    39 | Wombat(0,1.0 m,0.64) x  218 | MC estimate  66
seed   106 | Wombat(0,1.0 m,0.64) x    6 | MC estimate 113
seed    87 | Wombat(0,1.0 m,0.64) x  213 | MC estimate  66
seed   195 | Wombat(0,1.0 m,0.64) x   58 | MC estimate 143
seed    33 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 103
seed   100 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  66
seed   117 | Wombat(0,1.0 m,0.64) x  204 | MC estimate  66
seed   213 | Wombat(0,1.0 m,0.64) x  216 | MC estimate  69
seed   123 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 116
seed   142 | Wombat(0,1.0 m,0.64) x   17 | MC estimate 110
seed   171 | Wombat(0,1.0 m,0.64) x   87 | MC estimate 124
seed   275 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  70
seed   135 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 109
seed   201 | Wombat(0,1.0 m,0.64) x  200 | MC estimate 126
seed   165 | Wombat(0,1.0 m,0.64) x   18 | MC estimate 131
seed    51 | Wombat(0,1.0 m,0.64) x  207 | MC estimate  66
seed   219 | Wombat(0,1.0 m,0.64) x  107 | MC estimate 130
seed   239 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  69
seed   299 | Wombat(0,1.0 m,0.64) x  204 | MC estimate  70
seed   111 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 126
seed   227 | Wombat(0,1.0 m,0.64) x  212 | MC estimate  69
seed   178 | Wombat(0,1.0 m,0.64) x  175 | MC estimate 125
seed   190 | Wombat(0,1.0 m,0.64) x   28 | MC estimate 132
seed    45 | Wombat(0,1.0 m,0.64) x   78 | MC estimate 109
seed   245 | Wombat(0,1.0 m,0.64) x  117 | MC estimate 126
seed    69 | Wombat(0,1.0 m,0.64) x  131 | MC estimate 123
seed   311 | Wombat(0,1.0 m,0.64) x  141 | MC estimate 149
seed    93 | Wombat(0,1.0 m,0.64) x  159 | MC estimate  93
seed   290 | Wombat(0,1.0 m,0.64) x  169 | MC estimate 139
seed   263 | Wombat(0,1.0 m,0.64) x   80 | MC estimate 124
seed   302 | Wombat(0,1.0 m,0.64) x  222 | MC estimate  70
seed   159 | Wombat(0,1.0 m,0.64) x   20 | MC estimate 106
seed   153 | Wombat(0,1.0 m,0.64) x   91 | MC estimate 137
seed   305 | Wombat(0,1.0 m,0.64) x  175 | MC estimate 124
seed   287 | Wombat(0,1.0 m,0.64) x  194 | MC estimate 134
seed    99 | Wombat(0,1.0 m,0.64) x  219 | MC estimate  66
seed   230 | Wombat(0,1.0 m,0.64) x  226 | MC estimate  69
seed   233 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  69
seed   129 | Wombat(0,1.0 m,0.64) x   27 | MC estimate 142
seed   274 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  70
seed   257 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  69
seed   272 | Wombat(0,1.0 m,0.64) x  206 | MC estimate  69
seed   281 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  70
seed   254 | Wombat(0,1.0 m,0.64) x  207 | MC estimate 124
seed   105 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 116
seed   314 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 114
seed   141 | Wombat(0,1.0 m,0.64) x   35 | MC estimate 118
seed   238 | Wombat(0,1.0 m,0.64) x  202 | MC estimate 122
seed   278 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  70
seed   298 | Wombat(0,1.0 m,0.64) x  207 | MC estimate  70
seed   320 | Wombat(0,1.0 m,0.64) x  107 | MC estimate 127
seed   226 | Wombat(0,1.0 m,0.64) x   16 | MC estimate 116
seed   177 | Wombat(0,1.0 m,0.64) x  212 | MC estimate 122
seed   260 | Wombat(0,1.0 m,0.64) x  233 | MC estimate  69
seed   189 | Wombat(0,1.0 m,0.64) x   12 | MC estimate 106
seed   248 | Wombat(0,1.0 m,0.64) x   53 | MC estimate 112
seed   236 | Wombat(0,1.0 m,0.64) x  225 | MC estimate  69
seed   262 | Wombat(0,1.0 m,0.64) x  232 | MC estimate  69
seed   301 | Wombat(0,1.0 m,0.64) x  235 | MC estimate  70
seed   244 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 131
seed   304 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  70
seed   310 | Wombat(0,1.0 m,0.64) x   19 | MC estimate 147
seed   251 | Wombat(0,1.0 m,0.64) x   13 | MC estimate 111
seed   232 | Wombat(0,1.0 m,0.64) x  224 | MC estimate  69
seed   286 | Wombat(0,1.0 m,0.64) x   54 | MC estimate 143
seed   229 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 131
seed   296 | Wombat(0,1.0 m,0.64) x  179 | MC estimate 148
seed   289 | Wombat(0,1.0 m,0.64) x   59 | MC estimate 133
seed   242 | Wombat(0,1.0 m,0.64) x   48 | MC estimate 128
seed   273 | Wombat(0,1.0 m,0.64) x  209 | MC estimate  70
seed   256 | Wombat(0,1.0 m,0.64) x  232 | MC estimate 143
seed   271 | Wombat(0,1.0 m,0.64) x  215 | MC estimate  69
seed   313 | Wombat(0,1.0 m,0.64) x    4 | MC estimate 125
seed   237 | Wombat(0,1.0 m,0.64) x  244 | MC estimate  69
seed   277 | Wombat(0,1.0 m,0.64) x  240 | MC estimate  70
seed   297 | Wombat(0,1.0 m,0.64) x  233 | MC estimate  70
seed   317 | Wombat(0,1.0 m,0.64) x   24 | MC estimate 138
seed   308 | Wombat(0,1.0 m,0.64) x  131 | MC estimate 118
seed   319 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 121
seed   293 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  70
seed   225 | Wombat(0,1.0 m,0.64) x   97 | MC estimate 144
seed   266 | Wombat(0,1.0 m,0.64) x  189 | MC estimate 102
seed   269 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 123
seed   259 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  69
seed   280 | Wombat(0,1.0 m,0.64) x  119 | MC estimate 142
seed   247 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 117
seed   284 | Wombat(0,1.0 m,0.64) x  171 | MC estimate 138
seed   261 | Wombat(0,1.0 m,0.64) x  245 | MC estimate  69
seed   235 | Wombat(0,1.0 m,0.64) x  232 | MC estimate 138
seed   243 | Wombat(0,1.0 m,0.64) x  107 | MC estimate 140
seed   300 | Wombat(0,1.0 m,0.64) x  239 | MC estimate  70
seed   303 | Wombat(0,1.0 m,0.64) x  236 | MC estimate  70
seed   250 | Wombat(0,1.0 m,0.64) x   95 | MC estimate 130
seed   231 | Wombat(0,1.0 m,0.64) x  213 | MC estimate 138
seed   285 | Wombat(0,1.0 m,0.64) x  240 | MC estimate  70
seed   295 | Wombat(0,1.0 m,0.64) x  228 | MC estimate  70
seed   288 | Wombat(0,1.0 m,0.64) x  201 | MC estimate 132
seed   228 | Wombat(0,1.0 m,0.64) x   14 | MC estimate 122
seed   241 | Wombat(0,1.0 m,0.64) x  241 | MC estimate  69
seed   253 | Wombat(0,1.0 m,0.64) x   66 | MC estimate 152
seed   312 | Wombat(0,1.0 m,0.64) x    9 | MC estimate 134
seed   276 | Wombat(0,1.0 m,0.64) x  248 | MC estimate  70
seed   316 | Wombat(0,1.0 m,0.64) x  234 | MC estimate  94
seed   330 | Wombat(0,1.0 m,0.64) x   22 | MC estimate 114
seed   322 | Wombat(0,1.0 m,0.64) x   21 | MC estimate 141
seed   332 | Wombat(0,1.0 m,0.64) x   13 | MC estimate 118
seed   307 | Wombat(0,1.0 m,0.64) x   41 | MC estimate 121
seed   258 | Wombat(0,1.0 m,0.64) x  261 | MC estimate  69
seed   265 | Wombat(0,1.0 m,0.64) x   14 | MC estimate 138
seed   318 | Wombat(0,1.0 m,0.64) x   13 | MC estimate 129
seed   268 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 133
seed   309 | Wombat(0,1.0 m,0.64) x  167 | MC estimate 129
seed   279 | Wombat(0,1.0 m,0.64) x  257 | MC estimate  70
seed   246 | Wombat(0,1.0 m,0.64) x    3 | MC estimate 115
seed   283 | Wombat(0,1.0 m,0.64) x   55 | MC estimate 122
seed   270 | Wombat(0,1.0 m,0.64) x    2 | MC estimate 122
seed   338 | Wombat(0,1.0 m,0.64) x  237 | MC estimate  70
seed   234 | Wombat(0,1.0 m,0.64) x  252 | MC estimate  69
seed   340 | Wombat(0,1.0 m,0.64) x  190 | MC estimate 148
seed   336 | Wombat(0,1.0 m,0.64) x  255 | MC estimate  70
seed   326 | Wombat(0,1.0 m,0.64) x  229 | MC estimate  70
seed   328 | Wombat(0,1.0 m,0.64) x   37 | MC estimate 144
seed   294 | Wombat(0,1.0 m,0.64) x  221 | MC estimate  70
seed   346 | Wombat(0,1.0 m,0.64) x  243 | MC estimate  71
seed   324 | Wombat(0,1.0 m,0.64) x  122 | MC estimate 132
seed   255 | Wombat(0,1.0 m,0.64) x   36 | MC estimate 123
seed   240 | Wombat(0,1.0 m,0.64) x  251 | MC estimate  69
seed   252 | Wombat(0,1.0 m,0.64) x  249 | MC estimate  78
seed   249 | Wombat(0,1.0 m,0.64) x   15 | MC estimate 119
seed   358 | Wombat(0,1.0 m,0.64) x  244 | MC estimate  71
seed   344 | Wombat(0,1.0 m,0.64) x   96 | MC estimate 131
seed   360 | Wombat(0,1.0 m,0.64) x  251 | MC estimate  71
seed   292 | Wombat(0,1.0 m,0.64) x   48 | MC estimate 121
seed   321 | Wombat(0,1.0 m,0.64) x    7 | MC estimate 119
seed   331 | Wombat(0,1.0 m,0.64) x  158 | MC estimate 113
seed   306 | Wombat(0,1.0 m,0.64) x  260 | MC estimate  70
seed   315 | Wombat(0,1.0 m,0.64) x   18 | MC estimate 125
seed   364 | Wombat(0,1.0 m,0.64) x  260 | MC estimate  71
seed   348 | Wombat(0,1.0 m,0.64) x  265 | MC estimate  71
seed   329 | Wombat(0,1.0 m,0.64) x   45 | MC estimate 144
seed   352 | Wombat(0,1.0 m,0.64) x  264 | MC estimate  71
seed   362 | Wombat(0,1.0 m,0.64) x  264 | MC estimate  71
seed   282 | Wombat(0,1.0 m,0.64) x  233 | MC estimate 135
